Coefficients,Estimate
Intercept,476.27
GDPC,0.0037516
ANUZ,0
BRA,-345.58
CAN,-182.6
CAS,-242.64
CHN,-304.13
EEU,-218.6
EEU-FSU,-133.56
EFTA,-207.35
EU12-H,-183.71
EU12-M,-169.08
EU15,-229.9
IDN,-251.72
IND,-408.86
JPN,-270.42
KOR,-421.01
LAM-L,-322.07
LAM-M,-348.7
MEA-H,-345.62
MEA-M,-367.21
MEX,-358.88
NAF,-321.86
OAS-CPA,-342.72
OAS-L,-405.44
OAS-M,-233.56
PAK,-399.52
RUS,-292.05
SAF,-81.077
SSA-L,-282.8
SSA-M,-222.28
TUR,-348.59
USA,-32.744
