REGION,SCENARIO,year,urb_land_2015,ULC_2015,urban_pop_2015,urban_share,urban_pop,urban_pop_incrs,GDPC_2015,GDPC,GDPC_incrs,ULC_incrs,ULC,urban_land
AFG,SSP1,2020,2852,340.83965346693805,8.367571,31.32972276148506,12.386205893753118,4.018634893753118,1347.690006647463,1496.2185405337043,148.52853388624135,0.557219647727623,341.39687311466565,4228.611961881757
AFG,SSP1,2030,2852,340.83965346693805,8.367571,40.67008991073307,19.38905866404288,11.021487664042882,1347.690006647463,2298.2548139447076,950.5648072972447,3.566138931056343,344.4057923979944,6677.704113040887
AFG,SSP1,2040,2852,340.83965346693805,8.367571,49.71750773538679,27.345126429540088,18.97755542954009,1347.690006647463,4127.288594752823,2779.5985881053602,10.427942063136069,351.2675955300741,9605.456810370428
AFG,SSP1,2050,2852,340.83965346693805,8.367571,57.84195429117992,35.09849786388797,26.730926863887973,1347.690006647463,7525.939353988135,6178.249347340672,23.178320251483264,364.01797371842133,12776.484072972838
AFG,SSP1,2060,2852,340.83965346693805,8.367571,64.78413945535944,41.82269690819639,33.45512590819639,1347.690006647463,13002.168626175318,11654.478619527856,43.722941989020704,384.56259545595873,16083.444871983906
AFG,SSP1,2070,2852,340.83965346693805,8.367571,70.55249513460116,47.227840243102015,38.86026924310202,1347.690006647463,20758.54496564087,19410.85495899341,72.82176346415967,413.66141693109773,19536.335313557098
AFG,SSP1,2080,2852,340.83965346693805,8.367571,75.28460768808831,51.061032318369016,42.69346131836902,1347.690006647463,30758.934890304317,29411.244883656855,110.33922630552705,451.1788797724651,23037.65936142737
AFG,SSP1,2090,2852,340.83965346693805,8.367571,79.15376797266373,53.239615876093346,44.87204487609335,1347.690006647463,42799.08119118062,41451.39118453316,155.5090391678946,496.3486926348327,26425.413736479615
AFG,SSP1,2100,2852,340.83965346693805,8.367571,82.32394342880038,53.82092449544682,45.45335349544682,1347.690006647463,56716.55169249125,55368.86168584379,207.72182150061155,548.5614749675497,29524.085725339428
AFG,SSP2,2020,2852,340.83965346693805,8.367571,27.57538516285944,11.19615788382419,2.8285868838241903,1347.690006647463,1482.0698487759223,134.37984212845936,0.5041394157291281,341.3437928826672,3821.7389977777257
AFG,SSP2,2030,2852,340.83965346693805,8.367571,32.82116710232899,16.96493306352283,8.597362063522832,1347.690006647463,1971.328522509625,623.638515862162,2.339642256108487,343.17929572304655,5822.013780728392
AFG,SSP2,2040,2852,340.83965346693805,8.367571,38.13732552594828,24.254957661247843,15.887386661247843,1347.690006647463,2796.0188053271277,1448.3287986796647,5.43355032112663,346.2732037880647,8398.841897104156
AFG,SSP2,2050,2852,340.83965346693805,8.367571,43.3395530568767,32.57487486860967,24.20730386860967,1347.690006647463,4182.578962773742,2834.8889561262795,10.63536940780335,351.4750228747414,11449.254889586422
AFG,SSP2,2060,2852,340.83965346693805,8.367571,48.28417486747785,41.438444554766846,33.07087355476685,1347.690006647463,6364.66174174454,5016.971735097078,18.821671161390196,359.66132462832826,14903.80585910498
AFG,SSP2,2070,2852,340.83965346693805,8.367571,52.8776226877584,50.29772347682267,41.93015247682267,1347.690006647463,9676.979846721544,8329.289840074081,31.248163764021925,372.08781723095996,18715.170140177357
AFG,SSP2,2080,2852,340.83965346693805,8.367571,57.072956531794425,58.727501541651144,50.359930541651146,1347.690006647463,14570.80243734147,13223.112430694007,49.60782859499164,390.4474820619297,22930.005104725784
AFG,SSP2,2090,2852,340.83965346693805,8.367571,60.8594703943672,66.32465083578137,57.95707983578137,1347.690006647463,21481.80400073408,20134.113994086616,75.53514206021535,416.3747955271534,27615.912930158313
AFG,SSP2,2100,2852,340.83965346693805,8.367571,64.25081420834805,72.65867575565248,64.29110475565248,1347.690006647463,30868.560210813008,29520.870204165545,110.75049665794745,451.5901501248855,32811.942292370484
AFG,SSP3,2020,2852,340.83965346693805,8.367571,24.736238958187055,10.361021050026231,1.9934500500262313,1347.690006647463,1476.9851501695077,129.29514352204478,0.4850636604373032,341.3247171273753,3536.4725790509847
AFG,SSP3,2030,2852,340.83965346693805,8.367571,26.869552682673685,15.124871205077017,6.7573002050770175,1347.690006647463,1810.1261325279802,462.43612588051724,1.7348753698533483,342.5745288367914,5181.395626796412
AFG,SSP3,2040,2852,340.83965346693805,8.367571,28.97553960006471,21.102016224539124,12.734445224539124,1347.690006647463,2262.10059455971,914.4105879122469,3.4305027616115855,344.27015622854964,7264.794422359473
AFG,SSP3,2050,2852,340.83965346693805,8.367571,31.032759814396822,28.419491110426467,20.051920110426465,1347.690006647463,2891.350637154806,1543.660630507343,5.791197221411348,346.63085068834937,9851.072379737108
AFG,SSP3,2060,2852,340.83965346693805,8.367571,33.023379757383275,36.74445418844522,28.37688318844522,1347.690006647463,3701.6572599489523,2353.967253301489,8.831143547485865,349.6707970144239,12848.462581933625
AFG,SSP3,2070,2852,340.83965346693805,8.367571,34.9334349532737,45.64751945344274,37.27994845344274,1347.690006647463,4730.81809137522,3383.1280847277576,12.692143322664656,353.5317967896027,16137.849571363955
AFG,SSP3,2080,2852,340.83965346693805,8.367571,36.75276983620223,54.966707511627334,46.599136511627336,1347.690006647463,5966.882413511815,4619.192406864352,17.329362233592303,358.16901570053034,19687.37152573851
AFG,SSP3,2090,2852,340.83965346693805,8.367571,38.474740247980066,64.27359257386063,55.90602157386063,1347.690006647463,7352.682366180996,6004.992359533533,22.528329336026,363.36798280296404,23354.965681063306
